collection,name,lrv,r,g,b
3D-System plus,3D Palazzo 10,42,174,169,162
3D-System plus,3D Palazzo 15,49,187,183,177
3D-System plus,3D Palazzo 20,57,200,195,190
3D-System plus,3D Palazzo 25,67,218,212,206
3D-System plus,3D Palazzo 30,77,235,229,224
3D-System plus,3D Palazzo 35,23,130,124,115
3D-System plus,3D Palazzo 40,40,173,165,157
3D-System plus,3D Palazzo 45,49,188,181,172
3D-System plus,3D Palazzo 50,59,209,200,189
3D-System plus,3D Palazzo 55,69,226,215,205
3D-System plus,3D Palazzo 60,76,240,230,222
3D-System plus,3D Palazzo 65,7,70,63,55
3D-System plus,3D Palazzo 70,12,97,91,83
3D-System plus,3D Palazzo 75,20,125,118,110
3D-System plus,3D Palazzo 80,33,159,150,138
3D-System plus,3D Palazzo 85,50,195,184,171
3D-System plus,3D Palazzo 90,82,246,236,223
3D-System plus,3D Palazzo 95,23,134,124,112
3D-System plus,3D Palazzo 100,27,149,136,120
3D-System plus,3D Palazzo 105,35,167,155,139
3D-System plus,3D Palazzo 110,42,180,169,156
3D-System plus,3D Palazzo 115,63,216,205,193
3D-System plus,3D Palazzo 120,72,237,223,206
3D-System plus,3D Palazzo 125,9,86,75,59
3D-System plus,3D Palazzo 130,15,111,99,83
3D-System plus,3D Palazzo 135,22,137,122,101
3D-System plus,3D Palazzo 140,36,172,155,133
3D-System plus,3D Palazzo 145,48,197,180,159
3D-System plus,3D Palazzo 150,60,224,206,182
3D-System plus,3D Palazzo 155,12,102,85,63
3D-System plus,3D Palazzo 160,17,122,109,85
3D-System plus,3D Palazzo 165,26,151,134,110
3D-System plus,3D Palazzo 170,52,206,187,156
3D-System plus,3D Palazzo 175,66,233,210,178
3D-System plus,3D Palazzo 180,82,252,234,210
3D-System plus,3D Palazzo 185,13,113,89,52
3D-System plus,3D Palazzo 190,22,146,122,82
3D-System plus,3D Palazzo 195,36,180,157,117
3D-System plus,3D Palazzo 200,44,196,170,133
3D-System plus,3D Palazzo 205,57,225,194,153
3D-System plus,3D Palazzo 210,77,250,230,198
3D-System plus,3D Palazzo 215,28,173,137,79
3D-System plus,3D Palazzo 220,43,200,171,123
3D-System plus,3D Palazzo 225,48,213,180,134
3D-System plus,3D Palazzo 230,66,245,209,157
3D-System plus,3D Palazzo 235,76,253,222,178
3D-System plus,3D Palazzo 240,84,250,238,219
3D-System plus,3D Palazzo 245,22,150,117,61
3D-System plus,3D Palazzo 250,28,176,135,66
3D-System plus,3D Palazzo 255,43,211,169,100
3D-System plus,3D Palazzo 260,52,224,185,124
3D-System plus,3D Palazzo 265,64,249,206,140
3D-System plus,3D Palazzo 270,73,255,222,159
3D-System plus,3D Palazzo 275,17,140,104,43
3D-System plus,3D Palazzo 280,20,152,118,56
3D-System plus,3D Palazzo 285,40,207,162,74
3D-System plus,3D Palazzo 290,45,221,172,87
3D-System plus,3D Palazzo 295,56,239,191,113
3D-System plus,3D Palazzo 300,70,255,220,145
3D-System plus,3D Palazzo 305,27,175,133,56
3D-System plus,3D Palazzo 310,31,192,144,50
3D-System plus,3D Palazzo 315,34,197,152,65
3D-System plus,3D Palazzo 320,46,227,176,65
3D-System plus,3D Palazzo 325,63,255,207,119
3D-System plus,3D Palazzo 330,66,255,217,124
3D-System plus,3D Palazzo 335,30,188,137,32
3D-System plus,3D Palazzo 340,35,204,149,36
3D-System plus,3D Palazzo 345,46,226,175,41
3D-System plus,3D Palazzo 350,55,255,188,0
